EMPIRE_BM_TECH_1,帝国テクノロジーレベル 1 で入手可能な闇市場アイテムです。
MB_SPACE_PLANET_KESSEL_PIRACY,ケッセルは政治犯収容所で名高く、 秩序維持のため大規模な通信衛星網が設置されている。 だが我々の艦隊からの攻撃に対してはそれらも無力だった。 これらを制圧することで敵軍を欺き、 ザン・コンソーシアム管理下の埠頭へと誘い込むことが可能となる。 本星系内での航行にかかる関税も同様であり、 我々はその収益をザン・コンソーシアムへと回収する手筈となっている。 我が軍の汚染者たちが予備兵からなる襲撃部隊を編成し、 この目的の達成にあたっている。
MB_SPACE_PLANET_MANDALORE_PIRACY,マンダロア周辺では海賊活動が極めて危険な状況下で行われる見込みである。 この任務を成功させるため、 私自身が直接指揮を執らねばならない。 マンダロアの凶暴な住民たちや、 マンダロリアン氏族長の艦隊と対抗する必要があるからだ。 我が軍の汚染者たちが予備兵からなる襲撃部隊を編成し、 この目的の達成にあたっている。
MB_SPACE_PLANET_MANDALORE_PIRACY_PROLOGUE,マンダロア周辺では海賊活動が極めて危険な状況下で行われる見込みである。 マンダロアの最高戦略官を打ち破ることで、 マンダロリアンたちは自らに残された選択肢がないことを悟るだろう。 この地での海賊活動を確立することは、 ザン・コンソーシアムが銀河系内で拠点を築く上でも大いに役立つのである。 我が軍の汚染者たちが予備兵からなる襲撃部隊を編成し、 この目的の達成にあたっている。
MB_SPACE_PLANET_MANDALORE_PIRACY_STORY,マンダロア周辺では海賊活動が極めて危険な状況下で行われる見込みである。 この任務を成功させるため、 私自身が直接指揮を執らねばならない。 マンダロアの凶暴な住民たちや、 マンダロリアン氏族長の艦隊と対抗する必要があるからだ。 我が軍の汚染者たちが予備兵からなる襲撃部隊を編成し、 この目的の達成にあたっている。
MB_SPACE_PLANET_MONCALAMARI_PIRACY,モン・カラマリはその宇宙戦艦で名高い。 我が軍の汚染者たちは予備兵からなる襲撃部隊を編成し、 これら兵器の真の威力を確かめるべくザン・コンソーシアムの兵力と対峙させる手筈となっている。
MBEM02_AN_ORGANIZED_RESISTANCE,ダース・ヴェイダーは、 反乱軍とともに陰謀を企む帝国軍諜報員を追跡するため、 皇帝によりタイフェラ星に派遣されていた。 暗号化された通信を傍受し、 ヴェイダーは、 帝国軍の強襲部隊を率いる。 不意を突いて反乱軍を、 そしてもっと大きな獲物を捕らえるために・・・
MBEM03_THE_PIRATE_MENACE,ボバ・フェットは、 大金で帝国側に雇われていた。 彼は、 海賊の基地を探り、 主力艦隊が進入する前に、 警報システムを無力化するつもりだ。
MBEM04_SPACE_PLANET_GEONOSIS,グランドモフ・ターキンは、 ダース・ヴェイダーにジオノーシス星の資源を獲得する任務を与えた。 惑星を完全に支配するためには、 空と地の両方を制覇しなければならない。
MBEM05_ATTACK_ON_MON_CALAMARI,皇帝は、 モン・カラマリの熱狂的な独立主義者たちが、 機会さえあれば反乱軍に付くだろうと確信していた。 彼らをおとなしくさせるためには、 この星を支配下に置かなければならない。
MBEM06_TROUBLE_ON_KASHYYYK,しばらく前に、 帝国から逃亡したソロという名の陽気なならず者が、 ウーキーたちを牢獄から解放した。 彼は、 その無分別な抵抗により、 ウーキーたちをこの星から逃がそうとしているのだ。 我々は、 キャッシークに集めた労働力を失うわけにはいかない。
MBEM09_A_NEW_WEAPON_OF_WAR,デス・スターが計画どおりに建造されている最中に、 皇帝の興味は別の兵器へと移って行った。 マクシミリアン・ヴィアーズ大佐は、 新しい地上攻撃用兵器 - 全地形対応装甲トランスポートを披露する準備を進めている。 披露する地に選ばれたのは、 カリダ、 帝国の重要な訓練施設のある場所だ。
MBEM13_ERRAND_WITH_THE_EMPEROR,パルパティーン皇帝は、 帝国の情報が反乱軍側に漏れた原因は、 ボサンスパイ網にあると確信していた。 そのため、 皇帝は、 自身で自体を打開する考えを固めていた。
MBEM14_CAPTURING_A_PRINCESS,ボサンにより、 皇帝は、 レイア姫がデス・スターに関する情報を受信するとみなされていた場所を知った。 姫を捕らえるため、 小艦隊がタトゥイーンに派遣されたが、 正体不明の海賊たちの奇襲攻撃を受けてしまう。 ダース・ヴェイダーは、 姫が星系に入る前に海賊たちを撃退しなければならない。 間に合わなければ、 姫は逃げるだろう。
MBEM15_THE_DESTRUCTION_OF_ALDERAAN,デス・スターの威力をはっきりと見せつける必要がある。 レイア姫の抵抗にも関わらず、 ターゲットは選定された。 自らの故郷であるオルデラーンだ。
MBEXECUTIVE_TACTICAL_DEMO,[TBL]
MBEXECUTIVE_TACTICAL_DEMO1,[TBL]
MBRM01_SPACE_PLANET_KUAT,直接フリージアを攻撃するのは無理だと考え、 アンティリーズ艦長はクワットの帝国造船所に陽動攻撃をかけることにした。 その巨大な施設では、 あらゆる種類の帝国艦が建造されている。 通常は厳重な警備体制が敷かれているが、 インコム社の国営化式典のために防備に当たる艦隊の大部分が動員され、 造船所は攻撃されやすい状況に置かれていた。 そこに被害をもたらすことで、 インペリアル・スター・デストロイヤー 「 ティラニー 」 をフリージアから引き離し、 本来の標的を無防備にさせるのが、 アンティリーズの狙いだった。
MBRM02_INTERPRETING_THE_NETWORK,X ウィング強奪計画の失敗にも屈しない同盟軍は、 フリージア中に散らばる帝国軍のセンサーを晦ます計画を立てた。 ウェイランドにある帝国軍のネットワーク伝送ステーションは、 R2-D2 が無事そこに到達できれば、 帝国軍のセンサーからコードを盗むのに絶好の場所となるはずだ。 ネットワークを晦ますことさえできれば、 同盟軍は帝国軍にまったく気付かれることなく、 フリージアの防衛隊を突破することが出来る・・・
MBRM03_THEFT_OF_THE_X-WING,インコム社の一部の科学者は、 X ウィングを帝国に引き渡すのを渋って、 同盟軍にプロトタイプの所在を知らせた。 国営化を数日後に控えている同盟軍には、 一瞬の猶予もなかった。 まもなく帝国軍がフリージアに降り立ち、 X ウィングを手に入れて、 拡大しつつある兵力に加えるだろう。 決して楽な任務でないことは、 同盟軍も分かっていた。 施設の警備は厳しく、 これから起ころうとしていることに帝国が気づくのは時間の問題であった・・・
MBRM04_KESSEL_RESCUE,帝国に囚われた人々にとって、 悪名高いケッセルのスパイス鉱山に労働力として送り込まれることは、 死刑の宣告を受けたにも等しい。 インコム社の科学者や他の反乱軍支持者がこの鉱山に移送されるという情報を得ると、 同盟軍は捕虜たちが鉱山に到着する前に救出する計画を、 ただちに実行に移した。 Y ウィングに備えられたイオン・キャノン攻撃のアビリティを駆使し、 シャトルを航行不能にしたところに、 アンティリーズ艦長がサンダード・ハートで接近し、 ケッセル到着前に捕虜を解放しようというのだ!
MBRM06_IMPERIAL_LIBERATION,同盟軍は、 キャッシークでの事態について無線を傍受し、 帝国によって建設されたウーキーの収容施設が攻撃されていることを知った。 ウーキーたちは解放され、 武器を取っている。 同盟軍は、 帝国の支配から民衆を解き放つため、 全力を尽くすつもりだ。
MBRM07_HIGHEST_BIDDER,いかがわしい連中と関わりを持てば、 必ずリスクは伴うものだが、 今回は同盟の命運がかかっている。 同盟軍の仲間うちで、 同盟軍に恨みを持つある者が、 同盟軍の動きに関する重要なデータを盗み出した。 そして、 金と引き替えに、 帝国に渡そうとしている。
MBRM07A_RESCUE_FALCON,反乱軍と分かれてまもなく、 ハン・ソロはまた帝国軍と面倒なことになっていた。 コルラグに禁制品を運ぶ途中で、 スター・デストロイヤーの牽引ビームに捕らえられ、 いまにも船のエンジンが焼けついて、 帝国軍が乗り込んでこようという状態にあった。 同盟軍はハン・ソロの救出に急いだ。 密輸業者にしかできない作戦に、 彼の協力を得られることを期待して・・・
MBRM08A_CARGO_WOES,ハン・ソロはいつも、 このような集積所からものを盗み出しているが、 置いてくるのは初めてだ。 この中継エリアは、 セクター全域から艦隊が補給のために集まり、 たくさんの艦船が行き交っている。 ここを 1 日に通過する帝国艦の数は、 たいがいの星系が 1 年間で見る数よりも多いだろう。 様々な星系に向かう貨物コンテナが、 施設の周囲に浮かび、 警備の目をごまかす術を知る者なら、 わけなく手にすることができる。 同盟軍は、 ハン・ソロもそういう世知に長けたひとりであることを願っていた。
MBRM09_BORROWED_TIME,同盟軍は、 帝国の新型超強力兵器に関する情報の跡をたどって、 さらに詳しい情報を得られそうな場所として、 グランドモフ・ターキンの研究センターに的を絞った。 ハン・ソロが EMP を仕掛けた貨物コンテナは、 すでに目的地に到着している。 同盟軍は艦隊を編成し、 研究センターを襲撃する準備を整えていた。 星系に入る直前に、 同盟軍は貨物コンテナに仕掛けた EMP 装置を起爆させるつもりだ。 帝国軍艦隊が駆けつける前に、 センターを捜索する時間が十分にあるといいが・・・
MBRM09_LOST_AND_FOUND,ハン・ソロとチューバッカは、 またもや同盟軍のために、 危険な任務を果たすことになった。 今回の任務は、 厳重に防備を固めた帝国の都市に潜入するというものだ。 しかも、 移動手段は徒歩。 目的は、 帝国が盗んだ設計図を見つけることにある。 同盟軍がモン・カラマリを戦線に復帰させるために、 その設計図を取り戻すことが必要となっていた。 ハン・ソロとチューイーは、 協力し合いながら街を通り抜け、 出食わす帝国軍を避けるか制圧するかしかない。 そして、 補給品ドックに行き、 そこで設計図を取り返して、 宇宙に戻る船を盗むしか他はない。
MBTM00_GALACTIC,ギャラクティック・モードを紹介します。
MBTM01_GAINING_GROUND,境界地域の定期哨戒に当たっていた反乱軍のパトロール隊が連絡を絶ち、 捜索のために歩兵隊が派遣された。
MBTM02_SCRAMBLE,反乱同盟軍は、 帝国軍の攻撃を受けてキャッシークから撤退したが、 いくつかの近隣惑星に置いた拠点を強化する必要に迫られていた。
MBTM03_EMPIRE_AT_WAR,キャッシークの地上戦で敗れた帝国軍は、 この新たな抵抗運動の拠点を叩こうとしていた。
MBTM04_IMPERIAL_NOOSE,キャッシーク上空で反乱軍宇宙ステーションの排除に成功したことに続き、 帝国軍士官は自分の地位を脅かす反乱軍の残存勢力を一掃しようと躍起になっていた。
MBTM05_IMPERIAL_POLICY,帝国軍部隊はライロスに反乱軍の基地を見つけ、 その反乱軍拠点に全面攻撃をかけようとしている。
MBTM06_LAND_MULTIPLAYER,地上での小戦闘ゲームの基本的な操作方法を説明します。
MBTM07_SPACE_MULTIPLAYER,宇宙での小戦闘ゲームの基本的な操作方法を説明します。
MBUM01_A_CRIMELORD_UNLEASHED,ジャバは帝国側の人脈を利用して私を投獄させた。 長期間収監されていたおかげで独房内のギャングたちを掌握できたが、 その結果ザン・コンソーシアムの外部組織は壊滅状態に陥った。 副官のウライ・フェンには迅速な艦船の手配を命じており、 あと三日で到着する見込みだ。 私は脱獄してジャバおよび帝国への復讐を果たすつもりである。
MBUM02_REMNANTS_OF_THE_DEATH_STAR,私が銀河の別地域で再建活動に従事している間に、 反乱軍が皇帝直属のデス・スタ星を爆破してしまったようだ。 幸いにもこの死体は比較的新しく、 略奪者たちもまだその周辺から財物を収集し始めた段階である。 もし乗組員らがデータポッドを投下していたならば、 かつ反乱軍より先にそれを回収できれば、 皇帝の隠された貯蔵庫に関する情報も含まれている可能性は高い。
MBUM03_COMMUNICATIONS_BREAKDOWN,ジャバ・ザ・ハットはタイベルの通信システムへの侵入手段を見つけ出した。 幸運にも技術班が信号源をサレウカミ星上の中継局へと追跡できたため、 私は強襲部隊を派遣して敵拠点を占拠しようとしている。 これにより我らの地上軍がジャバから同地を奪還できる手筈となっている。
MBUM04_VISIONS_OF_THE_PAST,ジャバ・ザ・ハットは、 旧共和国に一度も見つからなかった、 ジョーノシアンによって建設されたクローン戦争時代の古い工場を発見した。 もし私が先にたどり着ければ、 ジャバのヌメヌメした手から大きな獲物を奪い、 ついでに大量の火力を手に入れることができる。 ウライは偵察のために先行し、 私は援軍を集めている。 何かがうまくいかなくなるはずがないだろう?
MBUM06_DARK_ALLY,私はシス・アーティファクトの解錠に必要なダーク・フォース使いを探すべく、 ダソミール星へと降下する。 しかし帝国による厳重な管理体制が敷かれていることには驚きを禁じ得ない。 どうやら皇帝自身もこの地に秘められた数々の秘密を隠したいようだ。 ウライと共に何を見つけ出せるのか、 大変興味深い次第である。
MBUM07_CLOUD_CITY_CONFLICT,ダース・ベイダーが現在ベスピン星上で軍勢を率いている。 私は襲撃隊内にガスの入手用の手がかりを仕向け、 帝国側がブラック・サン所属のキゾール王子こそが犯人であると誤認するよう促すつもりだ。 このガスは我らが艦船建造にも役立てる予定であり、 また私にとって IG-88 による暗号解析の協力も計画達成上不可欠な要素となっている。
MBUM08_REBEL_EVICTION,[TBL]
MBUM09_BAITING_THE_HOOK,私の計画に基づき、 カリダ星上で帝国側の担当者と会見し、 シス・アーティファクトを売却するという口実を使うつもりだ。 当然ながら相手方は全員私に対して裏切り行為を企てていると踏んでいる。 自身であれば敵対者との面会時に同様の策動を行うからだ。 ただし、 既知となった罠こそが逆に我々への有利条件となるのである。
MBUM11_RAIDERS_OF_THE_LOST_HOLOCRON,ウライおよびシルリと共にコルサント星上にある帝国アーカイブ施設へ強襲をかけている。 私は皇帝自身が用いる特別な暗号鍵を奪取するつもりだ。 確かにシルリの存在そのままに厄介事となろうことは理解しているものの、 現時点では念入りな監視下で彼女からの指示実行だけを求めるのが得策だと判断した。
MBUM12_THE_EMPERORS_NEW_WEAPON,皇帝専用の暗号鍵こそが我の目的物――銀河中の犯罪組織支配権に直結する莫大な富が収められた皇帝専用貯蔵庫の開錠手段となる。 残る帝国艦船を打ち破り、 さらに調査に来た反乱軍隊からも撃退できさえすれば私の野望は成就されるのだ。
MN_MP_LAND_ALDERAAN,オルデラーン
MN_MP_LAND_BESPIN,ベスピン
MN_MP_LAND_BOTHAWUI,ボサウイ
MN_MP_LAND_CORELLIA,コレリア
MN_MP_LAND_CORUSCANT,コルサント
MN_MP_LAND_DAGOBAH,ダゴバ
MN_MP_LAND_DANTOOINE,ダントゥイン
MN_MP_LAND_DATHOMIR,ダソミア
MN_MP_LAND_ENDOR,エンドア
MN_MP_LAND_FELUCIA,フェルーシア
MN_MP_LAND_FONDOR,フォンドア
MN_MP_LAND_GEONOSIS,ジオノーシス
MN_MP_LAND_HONOGHR,ホノガー
MN_MP_LAND_HOTH,ホス
MN_MP_LAND_HYPORI,ハイポリ
MN_MP_LAND_KAMINO,カミーノ
MN_MP_LAND_KASHYYYK,キャッシーク
MN_MP_LAND_KESSEL,ケッセル
MN_MP_LAND_MANDALORE,マンダロア
MN_MP_LAND_MYRKR,マーカー
MN_MP_LAND_NABOO,ナブー
MN_MP_LAND_POLUS,ポーラス
MN_MP_LAND_RYLOTH,ライロス
MN_MP_LAND_SALEUCAMI,サルーカマイ
MN_MP_LAND_SHOLA,ショーラ
MN_MP_LAND_TATOOINE,タトゥイーン
MN_MP_LAND_UTAPAU,ウータパウ
MN_MP_LAND_YAVIN,ヤヴィン
MN_MP_SPACE_ALDERAAN,オルデラーン
MN_MP_SPACE_BESPIN,ベスピン
MN_MP_SPACE_BOTHAWUI,ボサウイ
MN_MP_SPACE_CORUSCANT,コルサント
MN_MP_SPACE_DAGOBAH,ダゴバ
MN_MP_SPACE_DATHOMIR,ダソミア
MN_MP_SPACE_ENDOR,エンドア
MN_MP_SPACE_FELUCIA,フェルーシア
MN_MP_SPACE_GEONOSIS,ジオノーシス
MN_MP_SPACE_HOTH,ホス
MN_MP_SPACE_HYPORI,ハイポリ
MN_MP_SPACE_KAMINO,カミーノ
MN_MP_SPACE_KASHYYYK,キャッシーク
MN_MP_SPACE_KESSEL,ケッセル
MN_MP_SPACE_KUAT,クワット
MN_MP_SPACE_NABOO,ナブー
MN_MP_SPACE_POLUS,ポーラス
MN_MP_SPACE_RYLOTH,ライロス
MN_MP_SPACE_SALEUCAMI,サルーカマイ
MN_MP_SPACE_SHOLA,ショーラ
MN_MP_SPACE_TATOOINE,タトゥイーン
MN_MP_SPACE_THEMAW,モー
MN_MP_SPACE_UTAPAU,ウータパウ
MN_MP_SPACE_YAVIN,ヤヴィン
MNDEMO_ATTRACT_GEONOSIS,ジオノーシス
MNDEMO_ATTRACT_KAMINO,カミーノ
MNDEMO_ATTRACT_KORRIBAN,コリバン
MNDEMO_ATTRACT_LAND_CORELLIA,コレリア
MNDEMO_ATTRACT_LAND_CORELLIA_E,コレリア
MNDEMO_ATTRACT_LAND_CORELLIA_R,コレリア
MNE3_DEMO_LAND,フェルーシア
MNE3_DEMO_SPACE,カミーノ
MP_TEXT_ENCYCLOPEDIA_ARMS_DEPOT_UNDERWORLD_PAD_00,クリックすることでザン・コンソーシアム工場の建設が可能
MP_TEXT_ENCYCLOPEDIA_ASTEROID_MINING_FACILITY_00,小惑星の鉱山労働者は、 宇宙石から鉱石や貴重鉱物を抽出し、 それを現金に換える。
MP_TEXT_ENCYCLOPEDIA_ASTEROID_MINING_FACILITY_01,アップグレード: 補給物資の増加
MP_TEXT_ENCYCLOPEDIA_ASTEROID_MINING_FACILITY_PAD_00,小惑星の採鉱施設を建設する場合にクリックします。
MP_TEXT_ENCYCLOPEDIA_ASTEROID_MINING_FACILITY_PAD_01,稼動時には、 小惑星の鉱山労働者が宇宙石から鉱石や貴重鉱物を抽出し、 それを現金に換える。
MP_TEXT_ENCYCLOPEDIA_BARRACKS_EMPIRE_00,ユニットを補充する: ストームトルーパー、 スカウト・トルーパー、 フィールド・コマンダー
MP_TEXT_ENCYCLOPEDIA_BARRACKS_EMPIRE_01,アップグレード: サバイバル・トレーニング、 機動性向上
MP_TEXT_ENCYCLOPEDIA_BARRACKS_PAD_EMPIRE_00,帝国軍兵舎を建設する場合にクリックします。
MP_TEXT_ENCYCLOPEDIA_BARRACKS_PAD_REBEL_00,反乱軍兵舎を建設する場合にクリックします。
MP_TEXT_ENCYCLOPEDIA_BARRACKS_PAD_UNDERWORLD_00,クリックしてザン・コンソーシアム傭兵宿舎を建造しよう
MP_TEXT_ENCYCLOPEDIA_BARRACKS_REBEL_00,ユニットを徴兵する: 反乱軍兵士、 プレックス・ミサイル・トルーパー、 フィールド・コマンダー、 潜入者
MP_TEXT_ENCYCLOPEDIA_BARRACKS_REBEL_01,アップグレード: コンバット・アーマー、 サバイバル・トレーニング
MP_TEXT_ENCYCLOPEDIA_BASE_SHIELD_EMPIRE_00,帝国軍基地シールドを作る場合にクリックする。
MP_TEXT_ENCYCLOPEDIA_BASE_SHIELD_REBEL_00,反乱軍基地シールドを作る場合にクリックする。
MP_TEXT_ENCYCLOPEDIA_CANTINA_00,独自のユニットを割引価格で提供する。
MP_TEXT_ENCYCLOPEDIA_CANTINA_01,ユニット: ポッド・ウォーカー、 パイレート・スキッフ、 スワンプ・スピーダー
